code|name|spell
sh600000|浦发银行|600000PFYH
sh600004|白云机场|600004BYJC
sh600005|武钢股份|600005WGGF
sh600006|东风汽车|600006DFQC
sh600007|中国国贸|600007ZGGM
sh600008|首创股份|600008SCGF
sh600009|上海机场|600009SHJC
sh600010|包钢股份|600010BGGF
sh600011|华能国际|600011HNGJ
sh600012|皖通高速|600012WTGS
sh600015|华夏银行|600015HXYH
sh600016|民生银行|600016MSYH
sh600017|日照港|600017RZG
sh600018|上港集团|600018SGJT
sh600019|宝钢股份|600019BGGF
sh600020|中原高速|600020ZYGS
sh600021|上海电力|600021SHDL
sh600022|山东钢铁|600022SDGT
sh600023|浙能电力|600023ZNDL
sh600026|中远海能|600026ZYHN
sh600027|华电国际|600027HDGJ
sh600028|中国石化|600028ZGSH
sh600029|南方航空|600029NFHK
sh600030|中信证券|600030ZXZQ
sh600031|三一重工|600031SYZG
sh600033|福建高速|600033FJGS
sh600035|楚天高速|600035CTGS
sh600036|招商银行|600036ZSYH
sh600037|歌华有线|600037GHYX
sh600038|中直股份|600038ZZGF
sh600039|四川路桥|600039SCLQ
sh600048|保利地产|600048BLDC
sh600050|中国联通|600050ZGLT
sh600051|宁波联合|600051NBLH
sh600052|浙江广厦|600052ZJGX
sh600053|九鼎投资|600053JDTZ
sh600054|黄山旅游|600054HSLY
sh600055|万东医疗|600055WDYL
sh600056|中国医药|600056ZGYY
sh600057|象屿股份|600057XYGF
sh600058|五矿发展|600058WKFZ
sh600059|古越龙山|600059GYLS
sh600060|海信电器|600060HXDQ
sh600061|国投安信|600061GTAX
sh600062|华润双鹤|600062HRSH
sh600063|皖维高新|600063WWGX
sh600064|南京高科|600064NJGK
sh600066|宇通客车|600066YTKC
sh600067|冠城大通|600067GCDT
sh600068|葛洲坝|600068GZB
sh600069|银鸽投资|600069YGTZ
sh600070|浙江富润|600070ZJFR
sh600071|凤凰光学|600071FHGX
sh600072|中船科技|600072ZCKJ
sh600073|上海梅林|600073SHML
sh600074|保千里|600074BQL
sh600075|新疆天业|600075XJTY
sh600076|康欣新材|600076KXXC
sh600077|宋都股份|600077SDGF
