code|name
sh600136|道博股份
sz000718|苏宁环球
sz300232|洲明科技
sz300299|富春通信
sz002032|苏泊尔
sz002124|天邦股份
sz002594|比亚迪
sz300292|吴通通讯
sz000550|江铃汽车
sz000430|张家界
sh600184|光电股份
sz002661|克明面业
sz000025|特力Ａ
sh600850|华东电脑
sh600398|海澜之家
sh601009|南京银行
sz300145|南方泵业
sz002701|奥瑞金
sz002562|兄弟科技
sz002466|天齐锂业
sh600162|香江控股
sz300207|欣旺达
sz002281|光迅科技
sz002484|江海股份
sz002054|德美化工
sz002153|石基信息
sz300342|天银机电
sz000596|古井贡酒
sz300196|长海股份
sz002669|康达新材
sz002560|通达股份
sz002599|盛通股份
sz300091|金通灵
sz002519|银河电子
sz002572|索菲亚
sz000568|泸州老窖
sz002293|罗莱家纺
sh600661|新南洋
sh600816|安信信托
sz000565|渝三峡Ａ
sz002508|老板电器
sz002187|广百股份
sh600566|济川药业
sz002537|海立美达
sz300479|神思电子
sz300395|菲利华
sz002159|三特索道
sz002425|凯撒股份
sz002343|禾欣股份
sz002203|海亮股份
sh600517|置信电气
sz300054|鼎龙股份
sh600697|欧亚集团
sz002531|天顺风能
sz300100|双林股份
sz300203|聚光科技
sz002160|常铝股份
sz000042|中洲控股
sz002437|誉衡药业
sz002681|奋达科技
sz002175|广陆数测
sz002304|洋河股份
sz002460|赣锋锂业
sz002099|海翔药业
sh600261|阳光照明
sz000526|银润投资
sz002354|天神娱乐
sh600369|西南证券
sz002439|启明星辰
sh600734|实达集团
sz002326|永太科技
sz002773|康弘药业
sz300186|大华农
sz300351|永贵电器
sh600258|首旅酒店
sz002300|太阳电缆
sz002602|世纪华通
sz002083|孚日股份
sz002536|西泵股份
sz002222|福晶科技
sz002685|华东重机
sz002420|毅昌股份
sz002332|仙琚制药
sz002239|金飞达
sz002078|太阳纸业
sz002368|太极股份
sh601238|广汽集团
sh600438|通威股份
sh600683|京投银泰
sh600132|重庆啤酒
sh600419|天润乳业
sz300219|鸿利光电
sz000418|小天鹅Ａ
sz002389|南洋科技
sh601677|明泰铝业
sh600177|雅戈尔
sh600844|丹化科技
sz002618|丹邦科技
sh600521|华海药业
sz300160|秀强股份
sh600290|华仪电气
sz002682|龙洲股份
sh603003|龙宇燃油
sz002668|奥马电器
sz002042|华孚色纺
sz000547|闽福发Ａ
sh600763|通策医疗
sh600428|中远航运
sz002426|胜利精密
sz002157|正邦科技
sz002268|卫士通
sz002111|威海广泰
sz002276|万马股份
sh603001|奥康国际
sh600418|江淮汽车
sh600803|新奥股份
sz002002|鸿达兴业
sz300014|亿纬锂能
sh600309|万华化学
sz000729|燕京啤酒
sh600066|宇通客车
sz002258|利尔化学
sh600519|贵州茅台
sz300187|永清环保
sz002125|湘潭电化
sz002283|天润曲轴
sh600250|南纺股份
sz002694|顾地科技
sz000155|*ST川化
sz000032|深桑达Ａ
sz002619|巨龙管业
sz300291|华录百纳
sz300277|海联讯
sz002632|道明光学
sz300252|金信诺
sh600118|中国卫星
sz300285|国瓷材料
sh600131|岷江水电
sh600555|九龙山
sh601599|鹿港科技
sh601111|中国国航
sh601137|博威合金
sz300003|乐普医疗
sz000488|晨鸣纸业
sz002262|恩华药业
sh601555|东吴证券
sz002016|世荣兆业
sz002179|中航光电
sz002053|云南盐化
sh600894|广日股份
sh600337|美克家居
sz002407|多氟多
sz002557|洽洽食品
sz300242|明家科技
sz002686|亿利达
sz002493|荣盛石化
sz002040|南京港
sz002549|凯美特气
sh600420|现代制药
sz300239|东宝生物
sh600053|中江地产
sz000950|建峰化工
sh600619|海立股份
sz002504|东光微电
sz002500|山西证券
sh600276|恒瑞医药
sh600315|上海家化
sh600178|东安动力
sh600305|恒顺醋业
sh600271|航天信息
sh600213|亚星客车
sh600176|中国巨石
sz000701|厦门信达
sz000963|华东医药
sh600236|桂冠电力
sh600295|鄂尔多斯
sh600012|皖通高速
sh600223|鲁商置业
sh600351|亚宝药业
sz300446|乐凯新材
sh600197|伊力特
sz002051|中工国际
sz002590|万安科技
sz000912|*ST天化
sz002691|冀凯股份
sh600573|惠泉啤酒
sh600754|锦江股份
sz002261|拓维信息
sz000582|北部湾港
sh603168|莎普爱思
sh603885|吉祥航空
sz002180|艾派克
sh600879|航天电子
sz000603|盛达矿业
sh601166|兴业银行
sh600804|鹏博士
sh600785|新华百货
sh600738|兰州民百
sh603993|洛阳钼业
sh600399|抚顺特钢
sz002171|精诚铜业
sz002201|九鼎新材
sh603766|隆鑫通用
sz300174|元力股份
sh601998|中信银行
sz002142|宁波银行
sh601336|新华保险
sz000561|烽火电子
sh601618|中国中冶
sh600806|昆明机床
sh603123|翠微股份
sh601318|中国平安
sh601388|怡球资源
sz000513|丽珠集团
sh600358|国旅联合
sz300418|昆仑万维
sz000058|深赛格
sz002511|中顺洁柔
sz300311|任子行
sz002091|江苏国泰
sh600226|升华拜克
sz000065|北方国际
sh601877|正泰电器
sh600026|中海发展
sh600104|上汽集团
sz002528|英飞拓
sh600299|蓝星新材
sz000059|*ST华锦
sz000792|盐湖股份
sh600218|全柴动力
sz002496|辉丰股份
sh600007|中国国贸
sh600958|东方证券
sh600835|上海机电
sh601788|光大证券
sh600884|杉杉股份
sh600766|园城黄金
sh600809|山西汾酒
sh600900|长江电力
sh600845|宝信软件
sh600270|外运发展
sh600897|厦门空港
sz002335|科华恒盛
sh601886|江河创建
sz000919|金陵药业
sz002279|久其软件
sh600343|航天动力
sz300265|通光线缆
sz002400|省广股份
sh600593|大连圣亚
sz000691|亚太实业
sz300083|劲胜精密
sz002141|蓉胜超微
sz000023|深天地Ａ
sh600288|大恒科技
sz000679|大连友谊
sz002189|利达光电
sh600629|棱光实业
sz002025|航天电器
sz002419|天虹商场
sz000929|兰州黄河
sz002216|三全食品
sh600410|华胜天成
sh600597|光明乳业
sz000049|德赛电池
sz000977|浪潮信息
sz002039|黔源电力
sh600741|华域汽车
sz000024|招商地产
sz000988|华工科技
sz000661|长春高新
sz000599|青岛双星
sz300065|海兰信
sz002364|中恒电气
sz300038|梅泰诺
sh600723|首商股份
sz002143|印纪传媒
sh600727|鲁北化工
sh600415|小商品城
sz002678|珠江钢琴
sz002370|亚太药业
sz000810|创维数字
sz300364|中文在线
sz300463|迈克生物
sh603899|晨光文具
sz300106|西部牧业
sz002593|日上集团
sz002243|通产丽星
sz000938|紫光股份
sh601169|北京银行
sz002620|瑞和股份
sz300438|鹏辉能源
sz000021|深科技
sz300266|兴源环境
sz002008|大族激光
sz002554|惠博普
sz300296|利亚德
sh601222|林洋电子
sz002643|万润股份
sz002285|世联行
sz002186|全聚德
sz300256|星星科技
sz300254|仟源医药
sh601800|中国交建
sh600079|人福医药
sz002275|桂林三金
sz300209|天泽信息
sz002569|步森股份
sz002049|同方国芯
sz300101|振芯科技
sz002652|扬子新材
sh600858|银座股份
sh600614|鼎立股份
sz002329|皇氏集团
sh600580|卧龙电气
sz002137|实益达
sh600539|*ST狮头
sh600847|万里股份
sh600468|百利电气
sz000529|广弘控股
sh600855|航天长峰
sz000028|国药一致
sz000429|粤高速Ａ
sh600211|西藏药业
sz000524|岭南控股
sh600769|祥龙电业
sh600525|长园集团
sz002149|西部材料
sh600759|洲际油气
sz002331|皖通科技
sz000762|西藏矿业
sz000591|桐君阁
sh600561|江西长运
sh600359|新农开发
sh600889|南京化纤
sh601339|百隆东方
sh600649|城投控股
sz002673|西部证券
sz002470|金正大
sh600743|华远地产
sz000768|中航飞机
sh600323|瀚蓝环境
sz002630|华西能源
sh601567|三星电气
sz300025|华星创业
sh600829|人民同泰
sh600706|曲江文旅
sh600641|万业企业
sh600116|三峡水利
sz000590|*ST古汉
sz002316|键桥通讯
sz002253|川大智胜
sh600998|九州通
sz300047|天源迪科
sz002679|福建金森
sz300019|硅宝科技
sz002487|大金重工
sz002517|泰亚股份
sh600757|长江传媒
sz002469|三维工程
sh603010|万盛股份
sz300189|神农大丰
sz000953|河池化工
sh600326|西藏天路
sz002367|康力电梯
sz002475|立讯精密
sz300212|易华录
sh600761|安徽合力
sz002264|新华都
sh601958|金钼股份
sh603609|禾丰牧业
sz002412|汉森制药
sz002763|汇洁股份
sz002712|思美传媒
sz002771|真视通
sz300352|北信源
sz002018|华信国际
sh603618|杭电股份
sz002450|康得新
sh601010|文峰股份
sh600058|五矿发展
sz002323|中联电气
sh600722|*ST金化
sh600962|*ST中鲁
sh600976|健民集团
sz300116|坚瑞消防
sz300457|赢合科技
sz002433|太安堂
sz300197|铁汉生态
sz000018|中冠Ａ
sz300365|恒华科技
sh600572|康恩贝
sz300085|银之杰
sz002193|山东如意
sz000676|智度投资
sh600083|博信股份
sh600562|国睿科技
sh600373|中文传媒
sh600319|亚星化学
sz000636|风华高科
sz300001|特锐德
sz000973|佛塑科技
sz000062|深圳华强
sz002139|拓邦股份
sh600183|生益科技
sz300433|蓝思科技
sh600090|啤酒花
sz002206|海利得
sz002588|史丹利
sz300009|安科生物
sz002551|尚荣医疗
sh600064|南京高科
sz002196|方正电机
sz300119|瑞普生物
sz002546|新联电子
sz002580|圣阳股份
sz002382|蓝帆医疗
sh600478|科力远
sz002036|汉麻产业
sz000868|安凯客车
sz001696|宗申动力
sh601058|赛轮金宇
sz002397|梦洁家纺
sz300043|互动娱乐
sz002696|百洋股份
sz002430|杭氧股份
sh600594|益佰制药
sh600719|大连热电
sh601158|重庆水务
sh600165|新日恒力
sh600015|华夏银行
sh603399|新华龙
sz002597|金禾实业
sz300394|天孚通信
sh600207|安彩高科
sh600822|上海物贸
sh600217|*ST秦岭
sz002605|姚记扑克
sh600779|*ST水井
sz000906|物产中拓
sz000070|特发信息
sh601369|陕鼓动力
sh601700|风范股份
sz000900|现代投资
sz000423|东阿阿胶
sz300318|博晖创新
sz002324|普利特
sz000899|赣能股份
sz300243|瑞丰高材
sh600038|中直股份
sz000738|中航动控
sh600999|招商证券
sz002623|亚玛顿
sz000767|漳泽电力
sz002065|东华软件
sz000411|英特集团
sz300305|裕兴股份
sh600975|新五丰
sz300336|新文化
sz002583|海能达
sz002286|保龄宝
sz002596|海南瑞泽
sz000663|永安林业
sz002637|赞宇科技
sh600444|*ST国通
sz002415|海康威视
sz002570|贝因美
sz002548|金新农
sz002610|爱康科技
sh600507|方大特钢
sz002383|合众思壮
sz002294|信立泰
sz002086|东方海洋
sh600600|青岛啤酒
sz002692|远程电缆
sz002287|奇正藏药
sz002584|西陇化工
sz002656|卡奴迪路
sh600515|海岛建设
sz002195|二三四五
sz002108|沧州明珠
sz002552|宝鼎重工
sz000666|经纬纺机
sz002659|中泰桥梁
sz002260|德奥通航
sh600604|市北高新
sz002359|齐星铁塔
sz002290|禾盛新材
sz002429|兆驰股份
sz002687|乔治白
sz002507|涪陵榨菜
sz000815|*ST美利
sz002565|上海绿新
sh600520|中发科技
sh601018|宁波港
sh600690|青岛海尔
sz000586|汇源通信
sh601928|凤凰传媒
sh600370|三房巷
sh600363|联创光电
sh600426|华鲁恒升
sh600877|中国嘉陵
sz000514|渝开发
sh600300|维维股份
sh603368|柳州医药
sh600733|S前锋
sz000055|方大集团
sh600167|联美控股
sz000688|建新矿业
sz000541|佛山照明
sh600308|华泰股份
sh600107|美尔雅
sh600229|青岛碱业
sh600266|北京城建
sh600233|大杨创世
sz000050|深天马Ａ
sz000519|江南红箭
sz000680|山推股份
sh601098|中南传媒
sh600693|东百集团
sh600175|美都能源
sh600965|福成五丰
sh601313|江南嘉捷
sh600823|世茂股份
sh603806|福斯特
sz000533|万家乐
sz000001|平安银行
sh600699|均胜电子
sh600330|天通股份
sh600686|金龙汽车
sz300138|晨光生物
sh600203|福日电子
sz002020|京新药业
sh600867|通化东宝
sh600765|中航重机
sh600987|航民股份
sh601992|金隅股份
sh601939|建设银行
sh603008|喜临门
sh601038|一拖股份
sz000026|飞亚达Ａ
sh603167|渤海轮渡
sz000967|上风高科
sz000554|泰山石油
sh600283|钱江水利
sh600367|红星发展
sh600865|百大集团
sh603366|日出东方
sz300313|天山生物
sh600618|氯碱化工
sh600679|金山开发
sz300122|智飞生物
sh600773|西藏城投
sh600992|贵绳股份
sh600892|宝诚股份
sz002697|红旗连锁
sz300294|博雅生物
sz300031|宝通带业
sz300258|精锻科技
sz000936|华西股份
sz300482|万孚生物
sz300447|全信股份
sz002749|国光股份
sz300235|方直科技
sh600097|开创国际
sz300142|沃森生物
sz300023|宝德股份
sh600098|广州发展
sz300194|福安药业
sz000876|新希望
sz300262|巴安水务
sz300272|开能环保
sz300115|长盈精密
sz300325|德威新材
sh600048|保利地产
sz300008|上海佳豪
sh600094|大名城
sz000921|海信科龙
sz300068|南都电源
sz000916|华北高速
sz300398|飞凯材料
sz300173|智慧松德
sz002693|双成药业
sz000908|景峰医药
sh600055|华润万东
sz300066|三川股份
sz002007|华兰生物
sh600052|浙江广厦
sz300257|开山股份
sh603558|健盛集团
sh600995|文山电力
sh601818|光大银行
sz300051|三五互联
sz002648|卫星石化
sh600896|中海海盛
sh603019|中科曙光
sh603598|引力传媒
sz002310|东方园林
sz300036|超图软件
sz002709|天赐材料
sz300168|万达信息
sh601919|中国远洋
sh600983|惠而浦
sh603678|火炬电子
sh601566|九牧王
sh601007|金陵饭店
sh603729|龙韵股份
sh603306|华懋科技
sz002658|雪迪龙
sz300117|嘉寓股份
sh601398|工商银行
sh600888|新疆众和
sz002672|东江环保
sz002291|星期六
sh601999|出版传媒
sh601116|三江购物
sz300167|迪威视讯
sz300233|金城医药
sz002563|森马服饰
sh600729|重庆百货
sz300417|南华仪器
sz300451|创业软件
sh600114|东睦股份
sh600586|金晶科技
sz300424|航新科技
sz002458|益生股份
sz300478|杭州高新
sh600658|电子城
sh600982|宁波热电
sh600652|游久游戏
sh600462|石岘纸业
sh600301|*ST南化
sh600817|ST宏盛
sz000976|*ST春晖
sh600626|申达股份
sh600338|西藏珠峰
sh600746|江苏索普
sh600651|飞乐音响
sz000523|广州浪奇
sh600682|南京新百
sz002371|七星电子
sh600110|中科英华
sh600240|华业资本
sz000686|东北证券
sh600282|南钢股份
sz300390|天华超净
sh600376|首开股份
sz000002|万科Ａ
sz002567|唐人神
sz002256|彩虹精化
sh600802|福建水泥
sz000797|中国武夷
sz000078|海王生物
sh600269|赣粤高速
sh600371|万向德农
sz002385|大北农
sz300301|长方照明
sz002154|报喜鸟
sh600400|红豆股份
sh600285|羚锐制药
sz300332|天壕节能
sz300113|顺网科技
sz002341|新纶科技
sh600660|福耀玻璃
sh600768|宁波富邦
sz300300|汉鼎股份
sh600452|涪陵电力
sz300423|鲁亿通
sh600249|两面针
sz002197|证通电子
sh600331|宏达股份
sh600463|空港股份
sh600537|亿晶光电
sh600093|禾嘉股份
sz002006|精功科技
sh600753|东方银星
sz002577|雷柏科技
sz002434|万里扬
sz300308|中际装备
sz001896|豫能控股
sz000719|大地传媒
sz000507|珠海港
sz002126|银轮股份
sz000333|美的集团
sz000860|顺鑫农业
sz000920|南方汇通
sz000917|电广传媒
sz000615|湖北金环
sz000037|深南电Ａ
sz000567|海德股份
sz000811|烟台冰轮
sz002019|亿帆鑫富
sz000046|泛海控股
sz002182|云海金属
sz000961|中南建设
sz000880|潍柴重机
sz002130|沃尔核材
sz000750|国海证券
sz000926|福星股份
sz000402|金融街
sz000823|超声电子
sz002098|浔兴股份
sz002013|中航机电
sz002140|东华科技
sz002075|沙钢股份
sh601908|京运通
sz002677|浙江美大
sh603023|威帝股份
sh601099|太平洋
sz002134|天津普林
sh600368|五洲交通
sh600360|华微电子
sz300123|太阳鸟
sz000966|长源电力
sz000712|锦龙股份
sh600870|*ST厦华
sh600885|宏发股份
sh600685|中船防务
sh600556|慧球科技
sh600340|华夏幸福
sz000413|东旭光电
sz002055|得润电子
sh600667|太极实业
sh600571|信雅达
sh600557|康缘药业
sz000728|国元证券
sz000421|南京中北
sh600479|千金药业
sz002625|龙生股份
sz000608|阳光股份
sh600673|东阳光科
sz000600|建投能源
sh600981|汇鸿股份
sz300114|中航电测
sz300176|鸿特精密
sz000027|深圳能源
sz000004|国农科技
sh600317|营口港
sz002698|博实股份
sh600488|天药股份
sh600568|中珠控股
sz002236|大华股份
sz300208|恒顺众昇
sz000671|阳光城
sz002403|爱仕达
sz300346|南大光电
sh600061|中纺投资
sz300368|汇金股份
sz002221|东华能源
sz000828|东莞控股
sh600273|嘉化能源
sz000498|山东路桥
sz300468|四方精创
sz300393|中来股份
sz000020|深华发Ａ
sz002530|丰东股份
sz002540|亚太科技
sz000019|深深宝Ａ
sh600502|安徽水利
sh600091|*ST明科
sh600644|*ST乐电
sz002192|*ST路翔
sz000995|*ST皇台
sz002336|人人乐
sh601866|中海集运
sh600109|国金证券
sz002543|万和电气
sh600054|黄山旅游
sh600458|时代新材
sh600469|风神股份
sz002344|海宁皮城
sz000559|万向钱潮
sz000835|长城动漫
sh600396|金山股份
sh600535|天士力
sz002223|鱼跃医疗
sz002518|科士达
sh600664|哈药股份
sz300328|宜安科技
sz000623|吉林敖东
sh600728|佳都科技
sh603369|今世缘
sh600129|太极集团
sz002249|大洋电机
sh600513|联环药业
sz002776|柏堡龙
sz002752|昇兴股份
sh600421|仰帆控股
sz002362|汉王科技
sh601801|皖新传媒
sh600088|中视传媒
sz000798|中水渔业
sh600529|山东药玻
sz002346|柘中股份
sz300348|长亮科技
sz002010|传化股份
sz002231|奥维通信
sz002534|杭锅股份
sh603002|宏昌电子
sh600623|双钱股份
sz300329|海伦钢琴
sz002464|金利科技
sh601288|农业银行
sz300297|蓝盾股份
sh601226|华电重工
sh600711|盛屯矿业
sz000925|众合科技
sz000757|浩物股份
sz300280|南通锻压
sz300218|安利股份
sh600713|南京医药
sh601199|江南水务
sz300241|瑞丰光电
sz002297|博云新材
sz000895|双汇发展
sz000776|广发证券
sh601208|东材科技
