name|code|total_score_max|total_score_min|message_score_max|message_score_min|trade_score_max|trade_score_min|basic_score_max|basic_score_min|rate_buy_num|lhb_num
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sh600101"><span class="fore-stock-name">明星电力</span><span class="fore-stock-spell displaynone">(600101MXDL)</span></a>|<span class="fore-stock-code">sh600101</span>|6.2|4.2|5.5|5.5|6.5|5.3|5.4|5.4|1|3
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sh600113"><span class="fore-stock-name">浙江东日</span><span class="fore-stock-spell displaynone">(600113ZJDR)</span></a>|<span class="fore-stock-code">sh600113</span>|6.1|4.8|5.5|5.5|7|5.4|5.2|5.2|0|3
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sh600576"><span class="fore-stock-name">万好万家</span><span class="fore-stock-spell displaynone">(600576WHWJ)</span></a>|<span class="fore-stock-code">sh600576</span>|6.9|5.5|6.3|5.9|8|6.4|6|6|2|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sh600604"><span class="fore-stock-name">市北高新</span><span class="fore-stock-spell displaynone">(600604SBGX)</span></a>|<span class="fore-stock-code">sh600604</span>|6.9|5.5|8.6|6.6|8.5|4.9|5.8|5.8|1|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sh600734"><span class="fore-stock-name">实达集团</span><span class="fore-stock-spell displaynone">(600734SDJT)</span></a>|<span class="fore-stock-code">sh600734</span>|6.5|4.9|5|4.7|8|6.4|5.7|5.7|0|3
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sh600756"><span class="fore-stock-name">浪潮软件</span><span class="fore-stock-spell displaynone">(600756LCRJ)</span></a>|<span class="fore-stock-code">sh600756</span>|6.3|4.8|5.5|5.5|8.4|5.7|5|4.6|0|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sh603318"><span class="fore-stock-name">派思股份</span><span class="fore-stock-spell displaynone">(603318PSGF)</span></a>|<span class="fore-stock-code">sh603318</span>|6.1|5.4|5.5|5.5|4.5|2.5|5.4|5.1|1|5
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz000025"><span class="fore-stock-name">特力Ａ</span><span class="fore-stock-spell displaynone">(000025TLA)</span></a>|<span class="fore-stock-code">sz000025</span>|7.1|4.8|6.9|6|7.2|5.3|6.1|6.1|0|8
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz000048"><span class="fore-stock-name">康达尔</span><span class="fore-stock-spell displaynone">(000048KDE)</span></a>|<span class="fore-stock-code">sz000048</span>|7.7|5.6|7.2|6.7|8.2|6.5|8.3|8|1|5
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz000511"><span class="fore-stock-name">烯碳新材</span><span class="fore-stock-spell displaynone">(000511XTXC)</span></a>|<span class="fore-stock-code">sz000511</span>|5.9|4.7|6|5.3|7.7|6.3|5.3|4.7|1|2
