name|code|total_score_max|total_score_min|message_score_max|message_score_min|trade_score_max|trade_score_min|basic_score_max|basic_score_min|rate_buy_num|lhb_num
<a target="_blank" href="/Stock.php?code=sh600136"><span class="fore-stock-name">道博股份</span><span class="fore-stock-spell displaynone">600136DBGF</span></a>|<span class="fore-stock-code">sh600136</span>|7.7|5.5|7.1|5.6|8.2|6.6|6.6|6.6|2|1
<a target="_blank" href="/Stock.php?code=sh600383"><span class="fore-stock-name">金地集团</span><span class="fore-stock-spell displaynone">600383JDJT</span></a>|<span class="fore-stock-code">sh600383</span>|6.6|4.9|5.5|5.5|8|6.4|5.7|5.7|3|1
<a target="_blank" href="/Stock.php?code=sh600391"><span class="fore-stock-name">成发科技</span><span class="fore-stock-spell displaynone">600391CFKJ</span></a>|<span class="fore-stock-code">sh600391</span>|5.9|4.2|5.5|5.5|6.1|4.6|6.8|6.8|1|1
<a target="_blank" href="/Stock.php?code=sh600405"><span class="fore-stock-name">动力源</span><span class="fore-stock-spell displaynone">600405DLY</span></a>|<span class="fore-stock-code">sh600405</span>|5.5|4|5.5|5.5|7|4.3|6.1|5.6|1|1
<a target="_blank" href="/Stock.php?code=sh600425"><span class="fore-stock-name">青松建化</span><span class="fore-stock-spell displaynone">600425QSJH</span></a>|<span class="fore-stock-code">sh600425</span>|5.9|3.9|3.7|3.7|8.1|6.1|5.1|5.1|1|1
<a target="_blank" href="/Stock.php?code=sh600603"><span class="fore-stock-name">大洲兴业</span><span class="fore-stock-spell displaynone">600603DZXY</span></a>|<span class="fore-stock-code">sh600603</span>|4.7|4.5|6.2|5.5|7.2|5.6|4.7|4.7|0|1
<a target="_blank" href="/Stock.php?code=sh600610"><span class="fore-stock-name">中毅达</span><span class="fore-stock-spell displaynone">600610ZYD</span></a>|<span class="fore-stock-code">sh600610</span>|6.5|4.2|5.5|5.5|7.7|5.2|5.7|5.2|0|1
<a target="_blank" href="/Stock.php?code=sh600652"><span class="fore-stock-name">游久游戏</span><span class="fore-stock-spell displaynone">600652YJYX</span></a>|<span class="fore-stock-code">sh600652</span>|5.5|4.1|5.8|5.6|7.4|5.2|5.7|5.5|0|2
<a target="_blank" href="/Stock.php?code=sh600693"><span class="fore-stock-name">东百集团</span><span class="fore-stock-spell displaynone">600693DBJT</span></a>|<span class="fore-stock-code">sh600693</span>|5.9|4.2|3.7|3.3|8.1|6.2|4.4|4.3|2|2
<a target="_blank" href="/Stock.php?code=sh600712"><span class="fore-stock-name">南宁百货</span><span class="fore-stock-spell displaynone">600712NNBH</span></a>|<span class="fore-stock-code">sh600712</span>|6.6|5.5|5.5|5.5|8.1|6.2|4.9|4.4|0|1
<a target="_blank" href="/Stock.php?code=sh600806"><span class="fore-stock-name">昆明机床</span><span class="fore-stock-spell displaynone">600806KMJC</span></a>|<span class="fore-stock-code">sh600806</span>|6.5|4.3|6|5.6|8|5.5|5.6|5.1|0|1
<a target="_blank" href="/Stock.php?code=sh600876"><span class="fore-stock-name">洛阳玻璃</span><span class="fore-stock-spell displaynone">600876LYBL</span></a>|<span class="fore-stock-code">sh600876</span>|5.6|3.9|5.5|5.5|8.1|6.1|5.1|4.7|1|1
<a target="_blank" href="/Stock.php?code=sh600893"><span class="fore-stock-name">中航动力</span><span class="fore-stock-spell displaynone">600893ZHDL</span></a>|<span class="fore-stock-code">sh600893</span>|6.5|4.2|5.5|5.5|6.1|4.6|7.2|7.1|1|1
<a target="_blank" href="/Stock.php?code=sh603025"><span class="fore-stock-name">大豪科技</span><span class="fore-stock-spell displaynone">603025DHKJ</span></a>|<span class="fore-stock-code">sh603025</span>|5.9|3.6|5.5|5|4.5|1.9|5.5|5.5|0|1
<a target="_blank" href="/Stock.php?code=sh603598"><span class="fore-stock-name">引力传媒</span><span class="fore-stock-spell displaynone">603598YLCM</span></a>|<span class="fore-stock-code">sh603598</span>|5.9|4.2|5.5|5.5|4.9|2.8|5.9|5.9|0|1
<a target="_blank" href="/Stock.php?code=sz000010"><span class="fore-stock-name">深华新</span><span class="fore-stock-spell displaynone">000010SHX</span></a>|<span class="fore-stock-code">sz000010</span>|6|4.2|6.3|5.5|5.6|4.2|5.3|5.3|0|2
<a target="_blank" href="/Stock.php?code=sz000048"><span class="fore-stock-name">康达尔</span><span class="fore-stock-spell displaynone">000048KDE</span></a>|<span class="fore-stock-code">sz000048</span>|7.7|5.6|7.2|6.7|8.2|6.5|8.3|8|1|5
<a target="_blank" href="/Stock.php?code=sz000420"><span class="fore-stock-name">吉林化纤</span><span class="fore-stock-spell displaynone">000420JLHX</span></a>|<span class="fore-stock-code">sz000420</span>|6.4|4.4|5.7|4.9|7.8|5.7|5.1|4.9|0|1
<a target="_blank" href="/Stock.php?code=sz000576"><span class="fore-stock-name">广东甘化</span><span class="fore-stock-spell displaynone">000576GDGH</span></a>|<span class="fore-stock-code">sz000576</span>|6.4|4.3|6.3|5.6|7.3|6|5.1|5.1|0|2
<a target="_blank" href="/Stock.php?code=sz000676"><span class="fore-stock-name">智度投资</span><span class="fore-stock-spell displaynone">000676ZDTZ</span></a>|<span class="fore-stock-code">sz000676</span>|5.6|4.2|6.2|5.6|8.2|5.2|5.9|5.6|1|1
<a target="_blank" href="/Stock.php?code=sz000700"><span class="fore-stock-name">模塑科技</span><span class="fore-stock-spell displaynone">000700MSKJ</span></a>|<span class="fore-stock-code">sz000700</span>|6.6|4.6|5.5|5.5|7.8|6.1|6.6|6.4|1|1
<a target="_blank" href="/Stock.php?code=sz000716"><span class="fore-stock-name">黑芝麻</span><span class="fore-stock-spell displaynone">000716HZM</span></a>|<span class="fore-stock-code">sz000716</span>|6.1|5.1|5.9|5.8|8.2|6.9|5.8|5.3|3|1
