name|code|DdxNum|DdxPer|DdzNum|DdzPer|TddzNum|TddzPer|TotalNum|TotalPer|DayNum
<a target="_blank" href="/Chart.php?code=sz002085"><span class="fore-stock-name">万丰奥威</span><span class="fore-stock-spell displaynone">002085WFAW</span></a>|<span class="fore-stock-code">sz002085</span>|12|0.6|12|0.6|11|0.55|34|0.5667|20
<a target="_blank" href="/Chart.php?code=sz000597"><span class="fore-stock-name">东北制药</span><span class="fore-stock-spell displaynone">000597DBZY</span></a>|<span class="fore-stock-code">sz000597</span>|12|0.6|9|0.45|15|0.75|42|0.7001|20
<a target="_blank" href="/Chart.php?code=sz002384"><span class="fore-stock-name">东山精密</span><span class="fore-stock-spell displaynone">002384DSJM</span></a>|<span class="fore-stock-code">sz002384</span>|15|0.75|14|0.7|13|0.65|41|0.6834|20
<a target="_blank" href="/Chart.php?code=sz300217"><span class="fore-stock-name">东方电热</span><span class="fore-stock-spell displaynone">300217DFDR</span></a>|<span class="fore-stock-code">sz300217</span>|10|0.5|11|0.55|11|0.55|32|0.5334|20
<a target="_blank" href="/Chart.php?code=sz300367"><span class="fore-stock-name">东方网力</span><span class="fore-stock-spell displaynone">300367DFWL</span></a>|<span class="fore-stock-code">sz300367</span>|11|0.55|11|0.55|12|0.6|35|0.5834|20
<a target="_blank" href="/Chart.php?code=sz002271"><span class="fore-stock-name">东方雨虹</span><span class="fore-stock-spell displaynone">002271DFYH</span></a>|<span class="fore-stock-code">sz002271</span>|10|0.5|9|0.45|11|0.55|32|0.5334|20
<a target="_blank" href="/Chart.php?code=sh601601"><span class="fore-stock-name">中国太保</span><span class="fore-stock-spell displaynone">601601ZGTB</span></a>|<span class="fore-stock-code">sh601601</span>|14|0.7|8|0.4|13|0.65|40|0.6667|20
<a target="_blank" href="/Chart.php?code=sz002080"><span class="fore-stock-name">中材科技</span><span class="fore-stock-spell displaynone">002080ZCKJ</span></a>|<span class="fore-stock-code">sz002080</span>|8|0.5|6|0.375|9|0.5625|26|0.5417|16
<a target="_blank" href="/Chart.php?code=sh600745"><span class="fore-stock-name">中茵股份</span><span class="fore-stock-spell displaynone">600745ZYGF</span></a>|<span class="fore-stock-code">sh600745</span>|9|0.5295|4|0.2353|9|0.5295|27|0.5295|17
<a target="_blank" href="/Chart.php?code=sz002319"><span class="fore-stock-name">乐通股份</span><span class="fore-stock-spell displaynone">002319LTGF</span></a>|<span class="fore-stock-code">sz002319</span>|15|0.75|12|0.6|11|0.55|37|0.6167|20
