name|code|DdxNum|DdxPer|DdzNum|DdzPer|TddzNum|TddzPer|TotalNum|TotalPer|DayNum
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002024"><span class="fore-stock-name">苏宁云商</span><span class="fore-stock-spell displaynone">002024SNYS</span></a>|<span class="fore-stock-code">sz002024</span>|12|0.6|1|0.05|15|0.75|42|0.7001|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh601169"><span class="fore-stock-name">北京银行</span><span class="fore-stock-spell displaynone">601169BJYH</span></a>|<span class="fore-stock-code">sh601169</span>|13|0.65|2|0.1|17|0.85|47|0.7834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300148"><span class="fore-stock-name">天舟文化</span><span class="fore-stock-spell displaynone">300148TZWH</span></a>|<span class="fore-stock-code">sz300148</span>|11|0.55|3|0.15|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600016"><span class="fore-stock-name">民生银行</span><span class="fore-stock-spell displaynone">600016MSYH</span></a>|<span class="fore-stock-code">sh600016</span>|10|0.5|3|0.15|14|0.7|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300311"><span class="fore-stock-name">任子行</span><span class="fore-stock-spell displaynone">300311RZX</span></a>|<span class="fore-stock-code">sz300311</span>|10|0.5|3|0.15|14|0.7|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz001896"><span class="fore-stock-name">豫能控股</span><span class="fore-stock-spell displaynone">001896YNKG</span></a>|<span class="fore-stock-code">sz001896</span>|8|0.5|3|0.1875|12|0.75|32|0.6667|16
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600660"><span class="fore-stock-name">福耀玻璃</span><span class="fore-stock-spell displaynone">600660FYBL</span></a>|<span class="fore-stock-code">sh600660</span>|11|0.55|4|0.2|10|0.5|31|0.5167|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000933"><span class="fore-stock-name">神火股份</span><span class="fore-stock-spell displaynone">000933SHGF</span></a>|<span class="fore-stock-code">sz000933</span>|11|0.55|4|0.2|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh601666"><span class="fore-stock-name">平煤股份</span><span class="fore-stock-spell displaynone">601666PMGF</span></a>|<span class="fore-stock-code">sh601666</span>|10|0.5|4|0.2|13|0.65|36|0.6|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600369"><span class="fore-stock-name">西南证券</span><span class="fore-stock-spell displaynone">600369XNZQ</span></a>|<span class="fore-stock-code">sh600369</span>|10|0.5|4|0.2|14|0.7|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh601166"><span class="fore-stock-name">兴业银行</span><span class="fore-stock-spell displaynone">601166XYYH</span></a>|<span class="fore-stock-code">sh601166</span>|11|0.55|4|0.2|15|0.75|41|0.6834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600745"><span class="fore-stock-name">中茵股份</span><span class="fore-stock-spell displaynone">600745ZYGF</span></a>|<span class="fore-stock-code">sh600745</span>|9|0.5295|4|0.2353|9|0.5295|27|0.5295|17
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300294"><span class="fore-stock-name">博雅生物</span><span class="fore-stock-spell displaynone">300294BYSW</span></a>|<span class="fore-stock-code">sz300294</span>|10|0.5|5|0.25|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002372"><span class="fore-stock-name">伟星新材</span><span class="fore-stock-spell displaynone">002372WXXC</span></a>|<span class="fore-stock-code">sz002372</span>|10|0.5|5|0.25|14|0.7|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002712"><span class="fore-stock-name">思美传媒</span><span class="fore-stock-spell displaynone">002712SMCM</span></a>|<span class="fore-stock-code">sz002712</span>|8|0.5334|4|0.2667|8|0.5334|24|0.5334|15
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600463"><span class="fore-stock-name">空港股份</span><span class="fore-stock-spell displaynone">600463KGGF</span></a>|<span class="fore-stock-code">sh600463</span>|11|0.55|6|0.3|10|0.5|31|0.5167|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000619"><span class="fore-stock-name">海螺型材</span><span class="fore-stock-spell displaynone">000619HLXC</span></a>|<span class="fore-stock-code">sz000619</span>|10|0.5|6|0.3|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh603318"><span class="fore-stock-name">派思股份</span><span class="fore-stock-spell displaynone">603318PSGF</span></a>|<span class="fore-stock-code">sh603318</span>|10|0.5|6|0.3|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002714"><span class="fore-stock-name">牧原股份</span><span class="fore-stock-spell displaynone">002714MYGF</span></a>|<span class="fore-stock-code">sz002714</span>|10|0.5|6|0.3|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000603"><span class="fore-stock-name">盛达矿业</span><span class="fore-stock-spell displaynone">000603SDKY</span></a>|<span class="fore-stock-code">sz000603</span>|10|0.5|6|0.3|13|0.65|36|0.6|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300015"><span class="fore-stock-name">爱尔眼科</span><span class="fore-stock-spell displaynone">300015AEYK</span></a>|<span class="fore-stock-code">sz300015</span>|12|0.6|6|0.3|13|0.65|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300267"><span class="fore-stock-name">尔康制药</span><span class="fore-stock-spell displaynone">300267EKZY</span></a>|<span class="fore-stock-code">sz300267</span>|10|0.5|6|0.3|14|0.7|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002243"><span class="fore-stock-name">通产丽星</span><span class="fore-stock-spell displaynone">002243TCLX</span></a>|<span class="fore-stock-code">sz002243</span>|12|0.6|7|0.35|10|0.5|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002058"><span class="fore-stock-name">威尔泰</span><span class="fore-stock-spell displaynone">002058WET</span></a>|<span class="fore-stock-code">sz002058</span>|13|0.65|7|0.35|10|0.5|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600665"><span class="fore-stock-name">天地源</span><span class="fore-stock-spell displaynone">600665TDY</span></a>|<span class="fore-stock-code">sh600665</span>|10|0.5|7|0.35|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000100"><span class="fore-stock-name">TCL集团</span><span class="fore-stock-spell displaynone">000100TCLJT</span></a>|<span class="fore-stock-code">sz000100</span>|10|0.5|7|0.35|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300068"><span class="fore-stock-name">南都电源</span><span class="fore-stock-spell displaynone">300068NDDY</span></a>|<span class="fore-stock-code">sz300068</span>|10|0.5|7|0.35|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002556"><span class="fore-stock-name">辉隆股份</span><span class="fore-stock-spell displaynone">002556HLGF</span></a>|<span class="fore-stock-code">sz002556</span>|11|0.55|7|0.35|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000526"><span class="fore-stock-name">银润投资</span><span class="fore-stock-spell displaynone">000526YRTZ</span></a>|<span class="fore-stock-code">sz000526</span>|12|0.6|7|0.35|11|0.55|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002072"><span class="fore-stock-name">凯瑞德</span><span class="fore-stock-spell displaynone">002072KRD</span></a>|<span class="fore-stock-code">sz002072</span>|13|0.65|7|0.35|11|0.55|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000587"><span class="fore-stock-name">金叶珠宝</span><span class="fore-stock-spell displaynone">000587JYZB</span></a>|<span class="fore-stock-code">sz000587</span>|10|0.5|7|0.35|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000932"><span class="fore-stock-name">华菱钢铁</span><span class="fore-stock-spell displaynone">000932HLGT</span></a>|<span class="fore-stock-code">sz000932</span>|10|0.5|7|0.35|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002273"><span class="fore-stock-name">水晶光电</span><span class="fore-stock-spell displaynone">002273SJGD</span></a>|<span class="fore-stock-code">sz002273</span>|10|0.5|7|0.35|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh601699"><span class="fore-stock-name">潞安环能</span><span class="fore-stock-spell displaynone">601699LAHN</span></a>|<span class="fore-stock-code">sh601699</span>|11|0.55|7|0.35|12|0.6|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600188"><span class="fore-stock-name">兖州煤业</span><span class="fore-stock-spell displaynone">600188YZMY</span></a>|<span class="fore-stock-code">sh600188</span>|10|0.5|7|0.35|13|0.65|36|0.6|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002514"><span class="fore-stock-name">宝馨科技</span><span class="fore-stock-spell displaynone">002514BXKJ</span></a>|<span class="fore-stock-code">sz002514</span>|9|0.5295|6|0.353|10|0.5883|29|0.5687|17
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002080"><span class="fore-stock-name">中材科技</span><span class="fore-stock-spell displaynone">002080ZCKJ</span></a>|<span class="fore-stock-code">sz002080</span>|8|0.5|6|0.375|9|0.5625|26|0.5417|16
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000807"><span class="fore-stock-name">云铝股份</span><span class="fore-stock-spell displaynone">000807YLGF</span></a>|<span class="fore-stock-code">sz000807</span>|10|0.5|8|0.4|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002378"><span class="fore-stock-name">章源钨业</span><span class="fore-stock-spell displaynone">002378ZYWY</span></a>|<span class="fore-stock-code">sz002378</span>|10|0.5|8|0.4|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002475"><span class="fore-stock-name">立讯精密</span><span class="fore-stock-spell displaynone">002475LXJM</span></a>|<span class="fore-stock-code">sz002475</span>|10|0.5|8|0.4|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002495"><span class="fore-stock-name">佳隆股份</span><span class="fore-stock-spell displaynone">002495JLGF</span></a>|<span class="fore-stock-code">sz002495</span>|10|0.5|8|0.4|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300466"><span class="fore-stock-name">赛摩电气</span><span class="fore-stock-spell displaynone">300466SMDQ</span></a>|<span class="fore-stock-code">sz300466</span>|10|0.5|8|0.4|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002214"><span class="fore-stock-name">大立科技</span><span class="fore-stock-spell displaynone">002214DLKJ</span></a>|<span class="fore-stock-code">sz002214</span>|11|0.55|8|0.4|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002357"><span class="fore-stock-name">富临运业</span><span class="fore-stock-spell displaynone">002357FLYY</span></a>|<span class="fore-stock-code">sz002357</span>|11|0.55|8|0.4|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002428"><span class="fore-stock-name">云南锗业</span><span class="fore-stock-spell displaynone">002428YNZY</span></a>|<span class="fore-stock-code">sz002428</span>|11|0.55|8|0.4|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002662"><span class="fore-stock-name">京威股份</span><span class="fore-stock-spell displaynone">002662JWGF</span></a>|<span class="fore-stock-code">sz002662</span>|11|0.55|8|0.4|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300115"><span class="fore-stock-name">长盈精密</span><span class="fore-stock-spell displaynone">300115CYJM</span></a>|<span class="fore-stock-code">sz300115</span>|12|0.6|8|0.4|11|0.55|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300429"><span class="fore-stock-name">强力新材</span><span class="fore-stock-spell displaynone">300429QLXC</span></a>|<span class="fore-stock-code">sz300429</span>|12|0.6|8|0.4|11|0.55|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600216"><span class="fore-stock-name">浙江医药</span><span class="fore-stock-spell displaynone">600216ZJYY</span></a>|<span class="fore-stock-code">sh600216</span>|10|0.5|8|0.4|12|0.6|34|0.5667|20
