name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="/Chart.php?code=sz002432"><span class="fore-stock-name">九安医疗</span><span class="fore-stock-spell displaynone">002432JAYL</span></a>|<span class="fore-stock-code">sz002432</span>|0.47|6|5.5|5.5|0|4.6|4.6|5.5|5.5
<a target="_blank" href="/Chart.php?code=sz002614"><span class="fore-stock-name">蒙发利</span><span class="fore-stock-spell displaynone">002614MFL</span></a>|<span class="fore-stock-code">sz002614</span>|0.47|6|6.3|6.3|0|5.4|5.4|6|6
<a target="_blank" href="/Chart.php?code=sh600560"><span class="fore-stock-name">金自天正</span><span class="fore-stock-spell displaynone">600560JZTZ</span></a>|<span class="fore-stock-code">sh600560</span>|0.47|6|5.5|5.5|0|5.1|5.1|5.9|5.9
<a target="_blank" href="/Chart.php?code=sz000020"><span class="fore-stock-name">深华发Ａ</span><span class="fore-stock-spell displaynone">000020SHFA</span></a>|<span class="fore-stock-code">sz000020</span>|0.46|6|6.8|6.8|0|5.6|5.6|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz300355"><span class="fore-stock-name">蒙草抗旱</span><span class="fore-stock-spell displaynone">300355MCKH</span></a>|<span class="fore-stock-code">sz300355</span>|0.42|6|6.4|6.4|0|6.1|6.1|5.9|5.9
<a target="_blank" href="/Chart.php?code=sh600753"><span class="fore-stock-name">东方银星</span><span class="fore-stock-spell displaynone">600753DFYX</span></a>|<span class="fore-stock-code">sh600753</span>|0.4|6|5.5|5.5|0|4.5|4.5|6.2|6.2
<a target="_blank" href="/Chart.php?code=sh600751"><span class="fore-stock-name">天海投资</span><span class="fore-stock-spell displaynone">600751THTZ</span></a>|<span class="fore-stock-code">sh600751</span>|0.39|6|5.6|5.6|0|4.1|4.1|5.9|5.9
<a target="_blank" href="/Chart.php?code=sz300352"><span class="fore-stock-name">北信源</span><span class="fore-stock-spell displaynone">300352BXY</span></a>|<span class="fore-stock-code">sz300352</span>|0.38|6|5.7|5.7|0|5.6|5.6|6.4|6.4
<a target="_blank" href="/Chart.php?code=sz002433"><span class="fore-stock-name">太安堂</span><span class="fore-stock-spell displaynone">002433TAT</span></a>|<span class="fore-stock-code">sz002433</span>|0.38|6|6.9|6.9|0|5.2|5.2|6.4|6.4
<a target="_blank" href="/Chart.php?code=sz300008"><span class="fore-stock-name">上海佳豪</span><span class="fore-stock-spell displaynone">300008SHJH</span></a>|<span class="fore-stock-code">sz300008</span>|0.37|6|6.2|6.2|0|6.7|6.7|6.3|6.3
