name|code|total_score_max|total_score_min|message_score_max|message_score_min|trade_score_max|trade_score_min|basic_score_max|basic_score_min|rate_buy_num|lhb_num
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600012"><span class="fore-stock-name">皖通高速</span><span class="fore-stock-spell displaynone">600012WTGS</span></a>|<span class="fore-stock-code">sh600012</span>|7|5.1|5.5|5.5|7.2|5.3|6.9|6.9|1|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600070"><span class="fore-stock-name">浙江富润</span><span class="fore-stock-spell displaynone">600070ZJFR</span></a>|<span class="fore-stock-code">sh600070</span>|5.8|5.3|5.3|2.5|8.2|6.4|4.8|4.3|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600531"><span class="fore-stock-name">豫光金铅</span><span class="fore-stock-spell displaynone">600531YGJQ</span></a>|<span class="fore-stock-code">sh600531</span>|6.7|5.5|5.5|4.8|8.1|5.7|6.9|6.2|1|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600610"><span class="fore-stock-name">中毅达</span><span class="fore-stock-spell displaynone">600610ZYD</span></a>|<span class="fore-stock-code">sh600610</span>|6.5|4.2|5.5|5.5|7.7|5.2|5.7|5.2|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600774"><span class="fore-stock-name">汉商集团</span><span class="fore-stock-spell displaynone">600774HSJT</span></a>|<span class="fore-stock-code">sh600774</span>|6.5|4.7|5.5|5.5|8.1|6.2|5.5|5.2|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600988"><span class="fore-stock-name">赤峰黄金</span><span class="fore-stock-spell displaynone">600988CFHJ</span></a>|<span class="fore-stock-code">sh600988</span>|5.2|4.8|5.5|5.5|8.1|5.7|6.8|6.3|3|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600798"><span class="fore-stock-name">宁波海运</span><span class="fore-stock-spell displaynone">600798NBHY</span></a>|<span class="fore-stock-code">sh600798</span>|6.2|4.3|7.1|6|6.7|3.9|6.5|6.5|1|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh603869"><span class="fore-stock-name">北部湾旅</span><span class="fore-stock-spell displaynone">603869BBWL</span></a>|<span class="fore-stock-code">sh603869</span>|5.9|5.7|5.5|5.5|4.9|3.7|6.4|6.4|1|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000011"><span class="fore-stock-name">深物业Ａ</span><span class="fore-stock-spell displaynone">000011SWYA</span></a>|<span class="fore-stock-code">sz000011</span>|5.3|3.9|4.7|1.8|7.8|6.4|4.8|4.8|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000561"><span class="fore-stock-name">烽火电子</span><span class="fore-stock-spell displaynone">000561FHDZ</span></a>|<span class="fore-stock-code">sz000561</span>|6.6|4.6|5.5|5.5|8.4|6.1|5|5|1|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000673"><span class="fore-stock-name">当代东方</span><span class="fore-stock-spell displaynone">000673DDDF</span></a>|<span class="fore-stock-code">sz000673</span>|7.2|4.9|6.6|5.6|8.4|5.9|5.9|5.9|3|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000810"><span class="fore-stock-name">创维数字</span><span class="fore-stock-spell displaynone">000810CWSZ</span></a>|<span class="fore-stock-code">sz000810</span>|6.4|6.3|5.5|5.5|7.4|5.7|6.3|6.2|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002072"><span class="fore-stock-name">凯瑞德</span><span class="fore-stock-spell displaynone">002072KRD</span></a>|<span class="fore-stock-code">sz002072</span>|5.8|4.1|5.2|5|7.9|6.4|4.9|4.6|2|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002192"><span class="fore-stock-name">*ST路翔</span><span class="fore-stock-spell displaynone">002192STLX</span></a>|<span class="fore-stock-code">sz002192</span>|6.6|4.6|6.4|5.9|7.3|6|5.3|5|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002280"><span class="fore-stock-name">联络互动</span><span class="fore-stock-spell displaynone">002280LLHD</span></a>|<span class="fore-stock-code">sz002280</span>|6|4.1|6.4|5.9|8.4|5.2|6.4|6.4|5|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002431"><span class="fore-stock-name">棕榈园林</span><span class="fore-stock-spell displaynone">002431ZLYL</span></a>|<span class="fore-stock-code">sz002431</span>|5.5|4.2|5|4.7|6.6|5.2|4.3|4.3|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002575"><span class="fore-stock-name">群兴玩具</span><span class="fore-stock-spell displaynone">002575QXWJ</span></a>|<span class="fore-stock-code">sz002575</span>|6.2|5.9|6.3|5.6|8.4|6.3|5.4|5.4|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002587"><span class="fore-stock-name">奥拓电子</span><span class="fore-stock-spell displaynone">002587ATDZ</span></a>|<span class="fore-stock-code">sz002587</span>|5.9|3.6|4.7|4|7.7|5.5|4|4|1|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002640"><span class="fore-stock-name">跨境通</span><span class="fore-stock-spell displaynone">002640KJT</span></a>|<span class="fore-stock-code">sz002640</span>|6.8|5.4|6.8|6.2|7.7|5.8|7.6|7.1|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002654"><span class="fore-stock-name">万润科技</span><span class="fore-stock-spell displaynone">002654WRKJ</span></a>|<span class="fore-stock-code">sz002654</span>|7.3|4.7|6.9|5.7|7.7|5.5|6.4|5.8|1|4
