name|code|mess_score_yesterday|mess_score_today|mess_score_change|mess_score_max_40d|mess_score_min_40d
<a target="_blank" href="/Chart.php?code=sh600017"><span class="fore-stock-name">日照港</span><span class="fore-stock-spell displaynone">600017RZG</span></a>|<span class="fore-stock-code">sh600017</span>|5.7|5.9|0.2|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600020"><span class="fore-stock-name">中原高速</span><span class="fore-stock-spell displaynone">600020ZYGS</span></a>|<span class="fore-stock-code">sh600020</span>|5.1|5.3|0.2|5.6|5.1
<a target="_blank" href="/Chart.php?code=sh600022"><span class="fore-stock-name">山东钢铁</span><span class="fore-stock-spell displaynone">600022SDGT</span></a>|<span class="fore-stock-code">sh600022</span>|5.5|5.6|0.1|6.3|5.5
<a target="_blank" href="/Chart.php?code=sh600023"><span class="fore-stock-name">浙能电力</span><span class="fore-stock-spell displaynone">600023ZNDL</span></a>|<span class="fore-stock-code">sh600023</span>|5.8|5.9|0.1|6.2|5
<a target="_blank" href="/Chart.php?code=sh600050"><span class="fore-stock-name">中国联通</span><span class="fore-stock-spell displaynone">600050ZGLT</span></a>|<span class="fore-stock-code">sh600050</span>|4.1|5.2|1.1|6.8|3.2
<a target="_blank" href="/Chart.php?code=sh600052"><span class="fore-stock-name">浙江广厦</span><span class="fore-stock-spell displaynone">600052ZJGX</span></a>|<span class="fore-stock-code">sh600052</span>|5.6|5.8|0.2|5.8|5.3
<a target="_blank" href="/Chart.php?code=sh600067"><span class="fore-stock-name">冠城大通</span><span class="fore-stock-spell displaynone">600067GCDT</span></a>|<span class="fore-stock-code">sh600067</span>|5.6|5.7|0.1|5.7|4
<a target="_blank" href="/Chart.php?code=sh600070"><span class="fore-stock-name">浙江富润</span><span class="fore-stock-spell displaynone">600070ZJFR</span></a>|<span class="fore-stock-code">sh600070</span>|5.6|5.7|0.1|6.4|5.5
<a target="_blank" href="/Chart.php?code=sh600095"><span class="fore-stock-name">哈高科</span><span class="fore-stock-spell displaynone">600095HGK</span></a>|<span class="fore-stock-code">sh600095</span>|5.8|6|0.2|7.7|5
<a target="_blank" href="/Chart.php?code=sh600105"><span class="fore-stock-name">永鼎股份</span><span class="fore-stock-spell displaynone">600105YDGF</span></a>|<span class="fore-stock-code">sh600105</span>|5.5|5.6|0.1|6.7|5.5
<a target="_blank" href="/Chart.php?code=sh600111"><span class="fore-stock-name">北方稀土</span><span class="fore-stock-spell displaynone">600111BFXT</span></a>|<span class="fore-stock-code">sh600111</span>|4.7|5.4|0.7|6.4|4.7
<a target="_blank" href="/Chart.php?code=sh600113"><span class="fore-stock-name">浙江东日</span><span class="fore-stock-spell displaynone">600113ZJDR</span></a>|<span class="fore-stock-code">sh600113</span>|5.9|6.2|0.3|6.7|5.8
<a target="_blank" href="/Chart.php?code=sh600135"><span class="fore-stock-name">乐凯胶片</span><span class="fore-stock-spell displaynone">600135LKJP</span></a>|<span class="fore-stock-code">sh600135</span>|5.6|5.7|0.1|7.7|5.6
<a target="_blank" href="/Chart.php?code=sh600136"><span class="fore-stock-name">道博股份</span><span class="fore-stock-spell displaynone">600136DBGF</span></a>|<span class="fore-stock-code">sh600136</span>|5.5|5.6|0.1|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600138"><span class="fore-stock-name">中青旅</span><span class="fore-stock-spell displaynone">600138ZQL</span></a>|<span class="fore-stock-code">sh600138</span>|6.3|7|0.7|7|5
<a target="_blank" href="/Chart.php?code=sh600160"><span class="fore-stock-name">巨化股份</span><span class="fore-stock-spell displaynone">600160JHGF</span></a>|<span class="fore-stock-code">sh600160</span>|5.6|5.7|0.1|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600161"><span class="fore-stock-name">天坛生物</span><span class="fore-stock-spell displaynone">600161TTSW</span></a>|<span class="fore-stock-code">sh600161</span>|5.8|6|0.2|6|3.7
<a target="_blank" href="/Chart.php?code=sh600176"><span class="fore-stock-name">中国巨石</span><span class="fore-stock-spell displaynone">600176ZGJS</span></a>|<span class="fore-stock-code">sh600176</span>|6.4|6.5|0.1|8.7|5.6
<a target="_blank" href="/Chart.php?code=sh600211"><span class="fore-stock-name">西藏药业</span><span class="fore-stock-spell displaynone">600211XCYY</span></a>|<span class="fore-stock-code">sh600211</span>|5.6|5.7|0.1|7|5.6
<a target="_blank" href="/Chart.php?code=sh600227"><span class="fore-stock-name">赤天化</span><span class="fore-stock-spell displaynone">600227CTH</span></a>|<span class="fore-stock-code">sh600227</span>|5.7|5.8|0.1|7|5.5
<a target="_blank" href="/Chart.php?code=sh600240"><span class="fore-stock-name">华业资本</span><span class="fore-stock-spell displaynone">600240HYZB</span></a>|<span class="fore-stock-code">sh600240</span>|5.6|5.7|0.1|7.3|5.6
<a target="_blank" href="/Chart.php?code=sh600241"><span class="fore-stock-name">时代万恒</span><span class="fore-stock-spell displaynone">600241SDWH</span></a>|<span class="fore-stock-code">sh600241</span>|5.4|5.5|0.1|6.6|5.1
<a target="_blank" href="/Chart.php?code=sh600248"><span class="fore-stock-name">延长化建</span><span class="fore-stock-spell displaynone">600248YCHJ</span></a>|<span class="fore-stock-code">sh600248</span>|5.8|5.9|0.1|6.1|5.5
<a target="_blank" href="/Chart.php?code=sh600249"><span class="fore-stock-name">两面针</span><span class="fore-stock-spell displaynone">600249LMZ</span></a>|<span class="fore-stock-code">sh600249</span>|5.6|5.7|0.1|5.7|3.3
<a target="_blank" href="/Chart.php?code=sh600261"><span class="fore-stock-name">阳光照明</span><span class="fore-stock-spell displaynone">600261YGZM</span></a>|<span class="fore-stock-code">sh600261</span>|5.8|6|0.2|6.6|5.5
<a target="_blank" href="/Chart.php?code=sh600269"><span class="fore-stock-name">赣粤高速</span><span class="fore-stock-spell displaynone">600269GYGS</span></a>|<span class="fore-stock-code">sh600269</span>|6.3|6.6|0.3|6.6|5.5
<a target="_blank" href="/Chart.php?code=sh600270"><span class="fore-stock-name">外运发展</span><span class="fore-stock-spell displaynone">600270WYFZ</span></a>|<span class="fore-stock-code">sh600270</span>|5.7|5.8|0.1|8.4|5.6
<a target="_blank" href="/Chart.php?code=sh600284"><span class="fore-stock-name">浦东建设</span><span class="fore-stock-spell displaynone">600284PDJS</span></a>|<span class="fore-stock-code">sh600284</span>|5.6|5.7|0.1|6.6|5.6
<a target="_blank" href="/Chart.php?code=sh600288"><span class="fore-stock-name">大恒科技</span><span class="fore-stock-spell displaynone">600288DHKJ</span></a>|<span class="fore-stock-code">sh600288</span>|5.2|5.5|0.3|5.7|2.4
<a target="_blank" href="/Chart.php?code=sh600295"><span class="fore-stock-name">鄂尔多斯</span><span class="fore-stock-spell displaynone">600295EEDS</span></a>|<span class="fore-stock-code">sh600295</span>|5.7|5.8|0.1|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600305"><span class="fore-stock-name">恒顺醋业</span><span class="fore-stock-spell displaynone">600305HSCY</span></a>|<span class="fore-stock-code">sh600305</span>|5.6|6|0.4|9.9|5.6
<a target="_blank" href="/Chart.php?code=sh600308"><span class="fore-stock-name">华泰股份</span><span class="fore-stock-spell displaynone">600308HTGF</span></a>|<span class="fore-stock-code">sh600308</span>|5.6|5.8|0.2|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600312"><span class="fore-stock-name">平高电气</span><span class="fore-stock-spell displaynone">600312PGDQ</span></a>|<span class="fore-stock-code">sh600312</span>|6.4|6.9|0.5|7.6|5.6
<a target="_blank" href="/Chart.php?code=sh600318"><span class="fore-stock-name">巢东股份</span><span class="fore-stock-spell displaynone">600318CDGF</span></a>|<span class="fore-stock-code">sh600318</span>|5.9|6.1|0.2|7.7|5
<a target="_blank" href="/Chart.php?code=sh600328"><span class="fore-stock-name">兰太实业</span><span class="fore-stock-spell displaynone">600328LTSY</span></a>|<span class="fore-stock-code">sh600328</span>|5.6|5.7|0.1|5.7|4.4
<a target="_blank" href="/Chart.php?code=sh600329"><span class="fore-stock-name">中新药业</span><span class="fore-stock-spell displaynone">600329ZXYY</span></a>|<span class="fore-stock-code">sh600329</span>|5.7|5.8|0.1|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600331"><span class="fore-stock-name">宏达股份</span><span class="fore-stock-spell displaynone">600331HDGF</span></a>|<span class="fore-stock-code">sh600331</span>|5.8|6|0.2|6.3|5.5
<a target="_blank" href="/Chart.php?code=sh600332"><span class="fore-stock-name">白云山</span><span class="fore-stock-spell displaynone">600332BYS</span></a>|<span class="fore-stock-code">sh600332</span>|5.8|5.9|0.1|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600343"><span class="fore-stock-name">航天动力</span><span class="fore-stock-spell displaynone">600343HTDL</span></a>|<span class="fore-stock-code">sh600343</span>|5.8|5.9|0.1|5.9|5
<a target="_blank" href="/Chart.php?code=sh600348"><span class="fore-stock-name">阳泉煤业</span><span class="fore-stock-spell displaynone">600348YQMY</span></a>|<span class="fore-stock-code">sh600348</span>|5.3|5.4|0.1|5.4|2.5
<a target="_blank" href="/Chart.php?code=sh600361"><span class="fore-stock-name">华联综超</span><span class="fore-stock-spell displaynone">600361HLZC</span></a>|<span class="fore-stock-code">sh600361</span>|5.5|5.7|0.2|5.7|5.5
<a target="_blank" href="/Chart.php?code=sh600376"><span class="fore-stock-name">首开股份</span><span class="fore-stock-spell displaynone">600376SKGF</span></a>|<span class="fore-stock-code">sh600376</span>|6|6.3|0.3|6.3|5.5
<a target="_blank" href="/Chart.php?code=sh600377"><span class="fore-stock-name">宁沪高速</span><span class="fore-stock-spell displaynone">600377NHGS</span></a>|<span class="fore-stock-code">sh600377</span>|5.6|5.8|0.2|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600378"><span class="fore-stock-name">天科股份</span><span class="fore-stock-spell displaynone">600378TKGF</span></a>|<span class="fore-stock-code">sh600378</span>|4.8|5|0.2|6.4|4.8
<a target="_blank" href="/Chart.php?code=sh600379"><span class="fore-stock-name">宝光股份</span><span class="fore-stock-spell displaynone">600379BGGF</span></a>|<span class="fore-stock-code">sh600379</span>|5.7|5.9|0.2|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600416"><span class="fore-stock-name">湘电股份</span><span class="fore-stock-spell displaynone">600416XDGF</span></a>|<span class="fore-stock-code">sh600416</span>|5.7|5.9|0.2|6.4|5.5
<a target="_blank" href="/Chart.php?code=sh600418"><span class="fore-stock-name">江淮汽车</span><span class="fore-stock-spell displaynone">600418JHQC</span></a>|<span class="fore-stock-code">sh600418</span>|5.8|5.9|0.1|6.6|5.7
<a target="_blank" href="/Chart.php?code=sh600429"><span class="fore-stock-name">三元股份</span><span class="fore-stock-spell displaynone">600429SYGF</span></a>|<span class="fore-stock-code">sh600429</span>|6.1|6.4|0.3|8.4|5.5
<a target="_blank" href="/Chart.php?code=sh600439"><span class="fore-stock-name">瑞贝卡</span><span class="fore-stock-spell displaynone">600439RBK</span></a>|<span class="fore-stock-code">sh600439</span>|5.7|5.8|0.1|6.1|5.5
<a target="_blank" href="/Chart.php?code=sh600448"><span class="fore-stock-name">华纺股份</span><span class="fore-stock-spell displaynone">600448HFGF</span></a>|<span class="fore-stock-code">sh600448</span>|5.8|5.9|0.1|6.1|5.5
<a target="_blank" href="/Chart.php?code=sh600449"><span class="fore-stock-name">宁夏建材</span><span class="fore-stock-spell displaynone">600449NXJC</span></a>|<span class="fore-stock-code">sh600449</span>|6|6.3|0.3|6.3|2.5
<a target="_blank" href="/Chart.php?code=sh600476"><span class="fore-stock-name">湘邮科技</span><span class="fore-stock-spell displaynone">600476XYKJ</span></a>|<span class="fore-stock-code">sh600476</span>|5.6|5.8|0.2|5.8|4.8
<a target="_blank" href="/Chart.php?code=sh600477"><span class="fore-stock-name">杭萧钢构</span><span class="fore-stock-spell displaynone">600477HXGG</span></a>|<span class="fore-stock-code">sh600477</span>|6.6|7.2|0.6|8.2|5.6
<a target="_blank" href="/Chart.php?code=sh600481"><span class="fore-stock-name">双良节能</span><span class="fore-stock-spell displaynone">600481SLJN</span></a>|<span class="fore-stock-code">sh600481</span>|4.9|5.1|0.2|6.3|4.9
<a target="_blank" href="/Chart.php?code=sh600483"><span class="fore-stock-name">福能股份</span><span class="fore-stock-spell displaynone">600483FNGF</span></a>|<span class="fore-stock-code">sh600483</span>|5.6|5.9|0.3|6.3|5.6
<a target="_blank" href="/Chart.php?code=sh600496"><span class="fore-stock-name">精工钢构</span><span class="fore-stock-spell displaynone">600496JGGG</span></a>|<span class="fore-stock-code">sh600496</span>|5.5|5.6|0.1|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600497"><span class="fore-stock-name">驰宏锌锗</span><span class="fore-stock-spell displaynone">600497CHXZ</span></a>|<span class="fore-stock-code">sh600497</span>|6|6.1|0.1|6.1|2.5
<a target="_blank" href="/Chart.php?code=sh600510"><span class="fore-stock-name">黑牡丹</span><span class="fore-stock-spell displaynone">600510HMD</span></a>|<span class="fore-stock-code">sh600510</span>|5.8|6|0.2|6|5.5
<a target="_blank" href="/Chart.php?code=sh600522"><span class="fore-stock-name">中天科技</span><span class="fore-stock-spell displaynone">600522ZTKJ</span></a>|<span class="fore-stock-code">sh600522</span>|6|6.2|0.2|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600523"><span class="fore-stock-name">贵航股份</span><span class="fore-stock-spell displaynone">600523GHGF</span></a>|<span class="fore-stock-code">sh600523</span>|5.8|6|0.2|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600525"><span class="fore-stock-name">长园集团</span><span class="fore-stock-spell displaynone">600525CYJT</span></a>|<span class="fore-stock-code">sh600525</span>|5.6|5.7|0.1|6.6|5.6
