name|code|Vol2Price|ValidDayNum|TotalDayNum
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600000"><span class="fore-stock-name">浦发银行</span><span class="fore-stock-spell displaynone">600000PFYH</span></a>|<span class="fore-stock-code">sh600000</span>|1634|4|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600004"><span class="fore-stock-name">白云机场</span><span class="fore-stock-spell displaynone">600004BYJC</span></a>|<span class="fore-stock-code">sh600004</span>|1390|4|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600005"><span class="fore-stock-name">武钢股份</span><span class="fore-stock-spell displaynone">600005WGGF</span></a>|<span class="fore-stock-code">sh600005</span>|4530|6|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600006"><span class="fore-stock-name">东风汽车</span><span class="fore-stock-spell displaynone">600006DFQC</span></a>|<span class="fore-stock-code">sh600006</span>|1358|4|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600007"><span class="fore-stock-name">中国国贸</span><span class="fore-stock-spell displaynone">600007ZGGM</span></a>|<span class="fore-stock-code">sh600007</span>|2221|7|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600008"><span class="fore-stock-name">首创股份</span><span class="fore-stock-spell displaynone">600008SCGF</span></a>|<span class="fore-stock-code">sh600008</span>|2977|6|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600009"><span class="fore-stock-name">上海机场</span><span class="fore-stock-spell displaynone">600009SHJC</span></a>|<span class="fore-stock-code">sh600009</span>|-1328|7|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600010"><span class="fore-stock-name">包钢股份</span><span class="fore-stock-spell displaynone">600010BGGF</span></a>|<span class="fore-stock-code">sh600010</span>|5036|7|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600011"><span class="fore-stock-name">华能国际</span><span class="fore-stock-spell displaynone">600011HNGJ</span></a>|<span class="fore-stock-code">sh600011</span>|4736|7|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600012"><span class="fore-stock-name">皖通高速</span><span class="fore-stock-spell displaynone">600012WTGS</span></a>|<span class="fore-stock-code">sh600012</span>|2887|7|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600015"><span class="fore-stock-name">华夏银行</span><span class="fore-stock-spell displaynone">600015HXYH</span></a>|<span class="fore-stock-code">sh600015</span>|4263|6|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600016"><span class="fore-stock-name">民生银行</span><span class="fore-stock-spell displaynone">600016MSYH</span></a>|<span class="fore-stock-code">sh600016</span>|3605|7|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600017"><span class="fore-stock-name">日照港</span><span class="fore-stock-spell displaynone">600017RZG</span></a>|<span class="fore-stock-code">sh600017</span>|5048|6|9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600018"><span class="fore-stock-name">上港集团</span><span class="fore-stock-spell displaynone">600018SGJT</span></a>|<span class="fore-stock-code">sh600018</span>|4574|5|9
