name|code|Vol2PriceNum|Vol2Price|ValidDayNum|DdePercent|TotalDayNum
<a target="_blank" href="/Chart.php?code=sh600000"><span class="fore-stock-name">浦发银行</span><span class="fore-stock-spell displaynone">600000PFYH</span></a>|<span class="fore-stock-code">sh600000</span>|13|4067|14|35.3|17
<a target="_blank" href="/Chart.php?code=sh600004"><span class="fore-stock-name">白云机场</span><span class="fore-stock-spell displaynone">600004BYJC</span></a>|<span class="fore-stock-code">sh600004</span>|5|4157|12|41.18|17
<a target="_blank" href="/Chart.php?code=sh600006"><span class="fore-stock-name">东风汽车</span><span class="fore-stock-spell displaynone">600006DFQC</span></a>|<span class="fore-stock-code">sh600006</span>|10|4056|14|41.18|17
<a target="_blank" href="/Chart.php?code=sh600007"><span class="fore-stock-name">中国国贸</span><span class="fore-stock-spell displaynone">600007ZGGM</span></a>|<span class="fore-stock-code">sh600007</span>|10|5814|12|47.06|17
<a target="_blank" href="/Chart.php?code=sh600009"><span class="fore-stock-name">上海机场</span><span class="fore-stock-spell displaynone">600009SHJC</span></a>|<span class="fore-stock-code">sh600009</span>|6|4947|13|58.83|17
<a target="_blank" href="/Chart.php?code=sh600010"><span class="fore-stock-name">包钢股份</span><span class="fore-stock-spell displaynone">600010BGGF</span></a>|<span class="fore-stock-code">sh600010</span>|9|4209|13|52.95|17
<a target="_blank" href="/Chart.php?code=sh600011"><span class="fore-stock-name">华能国际</span><span class="fore-stock-spell displaynone">600011HNGJ</span></a>|<span class="fore-stock-code">sh600011</span>|9|3401|13|64.71|17
<a target="_blank" href="/Chart.php?code=sh600012"><span class="fore-stock-name">皖通高速</span><span class="fore-stock-spell displaynone">600012WTGS</span></a>|<span class="fore-stock-code">sh600012</span>|10|4435|12|35.3|17
<a target="_blank" href="/Chart.php?code=sh600015"><span class="fore-stock-name">华夏银行</span><span class="fore-stock-spell displaynone">600015HXYH</span></a>|<span class="fore-stock-code">sh600015</span>|8|5410|14|35.3|17
<a target="_blank" href="/Chart.php?code=sh600016"><span class="fore-stock-name">民生银行</span><span class="fore-stock-spell displaynone">600016MSYH</span></a>|<span class="fore-stock-code">sh600016</span>|10|4516|13|11.77|17
<a target="_blank" href="/Chart.php?code=sh600017"><span class="fore-stock-name">日照港</span><span class="fore-stock-spell displaynone">600017RZG</span></a>|<span class="fore-stock-code">sh600017</span>|8|5009|14|52.95|17
<a target="_blank" href="/Chart.php?code=sh600018"><span class="fore-stock-name">上港集团</span><span class="fore-stock-spell displaynone">600018SGJT</span></a>|<span class="fore-stock-code">sh600018</span>|8|6755|12|47.06|17
<a target="_blank" href="/Chart.php?code=sh600020"><span class="fore-stock-name">中原高速</span><span class="fore-stock-spell displaynone">600020ZYGS</span></a>|<span class="fore-stock-code">sh600020</span>|13|4783|15|35.3|17
<a target="_blank" href="/Chart.php?code=sh600021"><span class="fore-stock-name">上海电力</span><span class="fore-stock-spell displaynone">600021SHDL</span></a>|<span class="fore-stock-code">sh600021</span>|10|3510|14|29.42|17
<a target="_blank" href="/Chart.php?code=sh600022"><span class="fore-stock-name">山东钢铁</span><span class="fore-stock-spell displaynone">600022SDGT</span></a>|<span class="fore-stock-code">sh600022</span>|11|5283|13|11.77|17
<a target="_blank" href="/Chart.php?code=sh600023"><span class="fore-stock-name">浙能电力</span><span class="fore-stock-spell displaynone">600023ZNDL</span></a>|<span class="fore-stock-code">sh600023</span>|7|3220|12|35.3|17
<a target="_blank" href="/Chart.php?code=sh600026"><span class="fore-stock-name">中海发展</span><span class="fore-stock-spell displaynone">600026ZHFZ</span></a>|<span class="fore-stock-code">sh600026</span>|10|2429|14|29.42|17
<a target="_blank" href="/Chart.php?code=sh600027"><span class="fore-stock-name">华电国际</span><span class="fore-stock-spell displaynone">600027HDGJ</span></a>|<span class="fore-stock-code">sh600027</span>|7|5118|14|47.06|17
<a target="_blank" href="/Chart.php?code=sh600028"><span class="fore-stock-name">中国石化</span><span class="fore-stock-spell displaynone">600028ZGSH</span></a>|<span class="fore-stock-code">sh600028</span>|7|2745|14|11.77|17
<a target="_blank" href="/Chart.php?code=sh600029"><span class="fore-stock-name">南方航空</span><span class="fore-stock-spell displaynone">600029NFHK</span></a>|<span class="fore-stock-code">sh600029</span>|10|2681|15|29.42|17
<a target="_blank" href="/Chart.php?code=sh600030"><span class="fore-stock-name">中信证券</span><span class="fore-stock-spell displaynone">600030ZXZQ</span></a>|<span class="fore-stock-code">sh600030</span>|9|3637|11|23.53|17
<a target="_blank" href="/Chart.php?code=sh600031"><span class="fore-stock-name">三一重工</span><span class="fore-stock-spell displaynone">600031SYZG</span></a>|<span class="fore-stock-code">sh600031</span>|9|2831|14|58.83|17
<a target="_blank" href="/Chart.php?code=sh600033"><span class="fore-stock-name">福建高速</span><span class="fore-stock-spell displaynone">600033FJGS</span></a>|<span class="fore-stock-code">sh600033</span>|12|4340|15|52.95|17
<a target="_blank" href="/Chart.php?code=sh600035"><span class="fore-stock-name">楚天高速</span><span class="fore-stock-spell displaynone">600035CTGS</span></a>|<span class="fore-stock-code">sh600035</span>|9|2965|15|35.3|17
<a target="_blank" href="/Chart.php?code=sh600036"><span class="fore-stock-name">招商银行</span><span class="fore-stock-spell displaynone">600036ZSYH</span></a>|<span class="fore-stock-code">sh600036</span>|10|5335|11|11.77|17
<a target="_blank" href="/Chart.php?code=sh600037"><span class="fore-stock-name">歌华有线</span><span class="fore-stock-spell displaynone">600037GHYX</span></a>|<span class="fore-stock-code">sh600037</span>|7|4461|8|47.06|17
<a target="_blank" href="/Chart.php?code=sh600038"><span class="fore-stock-name">中直股份</span><span class="fore-stock-spell displaynone">600038ZZGF</span></a>|<span class="fore-stock-code">sh600038</span>|5|1673|13|17.65|17
<a target="_blank" href="/Chart.php?code=sh600039"><span class="fore-stock-name">四川路桥</span><span class="fore-stock-spell displaynone">600039SCLQ</span></a>|<span class="fore-stock-code">sh600039</span>|11|3224|13|47.06|17
<a target="_blank" href="/Chart.php?code=sh600048"><span class="fore-stock-name">保利地产</span><span class="fore-stock-spell displaynone">600048BLDC</span></a>|<span class="fore-stock-code">sh600048</span>|7|3354|14|47.06|17
<a target="_blank" href="/Chart.php?code=sh600050"><span class="fore-stock-name">中国联通</span><span class="fore-stock-spell displaynone">600050ZGLT</span></a>|<span class="fore-stock-code">sh600050</span>|6|3449|13|35.3|17
<a target="_blank" href="/Chart.php?code=sh600051"><span class="fore-stock-name">宁波联合</span><span class="fore-stock-spell displaynone">600051NBLH</span></a>|<span class="fore-stock-code">sh600051</span>|9|4931|13|5.89|17
<a target="_blank" href="/Chart.php?code=sh600052"><span class="fore-stock-name">浙江广厦</span><span class="fore-stock-spell displaynone">600052ZJGX</span></a>|<span class="fore-stock-code">sh600052</span>|10|1999|12|5.89|17
<a target="_blank" href="/Chart.php?code=sh600053"><span class="fore-stock-name">中江地产</span><span class="fore-stock-spell displaynone">600053ZJDC</span></a>|<span class="fore-stock-code">sh600053</span>|7|2478|14|41.18|17
<a target="_blank" href="/Chart.php?code=sh600054"><span class="fore-stock-name">黄山旅游</span><span class="fore-stock-spell displaynone">600054HSLY</span></a>|<span class="fore-stock-code">sh600054</span>|10|3865|14|29.42|17
<a target="_blank" href="/Chart.php?code=sh600055"><span class="fore-stock-name">华润万东</span><span class="fore-stock-spell displaynone">600055HRWD</span></a>|<span class="fore-stock-code">sh600055</span>|10|4632|11|29.42|17
<a target="_blank" href="/Chart.php?code=sh600056"><span class="fore-stock-name">中国医药</span><span class="fore-stock-spell displaynone">600056ZGYY</span></a>|<span class="fore-stock-code">sh600056</span>|10|4340|11|41.18|17
<a target="_blank" href="/Chart.php?code=sh600057"><span class="fore-stock-name">象屿股份</span><span class="fore-stock-spell displaynone">600057XYGF</span></a>|<span class="fore-stock-code">sh600057</span>|11|4483|15|17.65|17
<a target="_blank" href="/Chart.php?code=sh600058"><span class="fore-stock-name">五矿发展</span><span class="fore-stock-spell displaynone">600058WKFZ</span></a>|<span class="fore-stock-code">sh600058</span>|13|4104|15|41.18|17
<a target="_blank" href="/Chart.php?code=sh600059"><span class="fore-stock-name">古越龙山</span><span class="fore-stock-spell displaynone">600059GYLS</span></a>|<span class="fore-stock-code">sh600059</span>|9|3443|13|47.06|17
<a target="_blank" href="/Chart.php?code=sh600060"><span class="fore-stock-name">海信电器</span><span class="fore-stock-spell displaynone">600060HXDQ</span></a>|<span class="fore-stock-code">sh600060</span>|10|4598|15|58.83|17
<a target="_blank" href="/Chart.php?code=sh600061"><span class="fore-stock-name">中纺投资</span><span class="fore-stock-spell displaynone">600061ZFTZ</span></a>|<span class="fore-stock-code">sh600061</span>|9|4543|13|29.42|17
<a target="_blank" href="/Chart.php?code=sh600062"><span class="fore-stock-name">华润双鹤</span><span class="fore-stock-spell displaynone">600062HRSH</span></a>|<span class="fore-stock-code">sh600062</span>|3|2199|14|23.53|17
<a target="_blank" href="/Chart.php?code=sh600063"><span class="fore-stock-name">皖维高新</span><span class="fore-stock-spell displaynone">600063WWGX</span></a>|<span class="fore-stock-code">sh600063</span>|9|4256|14|35.3|17
<a target="_blank" href="/Chart.php?code=sh600064"><span class="fore-stock-name">南京高科</span><span class="fore-stock-spell displaynone">600064NJGK</span></a>|<span class="fore-stock-code">sh600064</span>|7|4411|11|35.3|17
<a target="_blank" href="/Chart.php?code=sh600066"><span class="fore-stock-name">宇通客车</span><span class="fore-stock-spell displaynone">600066YTKC</span></a>|<span class="fore-stock-code">sh600066</span>|6|2733|14|64.71|17
<a target="_blank" href="/Chart.php?code=sh600067"><span class="fore-stock-name">冠城大通</span><span class="fore-stock-spell displaynone">600067GCDT</span></a>|<span class="fore-stock-code">sh600067</span>|9|1672|11|35.3|17
